Mix,Treatment,Replicate,Bloc,Location,Generation,Density,Fecundity
3,control,5,NA,front,14,low,27
3,control,5,NA,front,14,low,46
3,control,5,NA,front,14,low,33
1,restricted connectedness,6,NA,front,14,low,37
1,restricted connectedness,6,NA,front,14,low,37
1,restricted connectedness,6,NA,front,14,low,38
1,restricted connectedness,6,NA,front,14,low,0
1,restricted connectedness,6,NA,front,14,low,42
1,restricted connectedness,6,NA,front,14,low,41
1,restricted connectedness,6,NA,front,14,low,30
1,restricted connectedness,6,NA,front,14,low,51
1,restricted connectedness,6,NA,front,14,low,27
1,restricted connectedness,6,NA,front,14,low,15
2,restricted connectedness,6,NA,front,14,low,14
2,restricted connectedness,6,NA,front,14,low,33
2,restricted connectedness,6,NA,front,14,low,38
2,restricted connectedness,6,NA,front,14,low,34
2,restricted connectedness,6,NA,front,14,low,26
2,restricted connectedness,6,NA,front,14,low,26
2,restricted connectedness,6,NA,front,14,low,41
2,restricted connectedness,6,NA,front,14,low,39
2,restricted connectedness,6,NA,front,14,low,28
2,restricted connectedness,6,NA,front,14,low,31
